Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
Alat Tulis Umum (Kantor/Sekolah); Buku Anak,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Menghadiri acara budaya atau edukasi,Kesehatan dan Kecantikan,Sangat Tidak Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju
Alat Olahraga,Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri; Menambah pengetahuan; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi; Travelling,"Alat Tulis kantor atau sekolah; Buku fiksi (novel, komik, buku anak)",Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Olahraga; Komik/Novel Grafis,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Membaca buku atau majalah ; Menghadiri acara budaya atau edukasi; Olahraga,"Alat Tulis kantor atau sekolah; Kesehatan dan Kecantikan; Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Netral,Sangat Tidak Setuju,Netral
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,Kado atau hadiah; Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain musik; Bermain game (offline/online),"Alat Olahraga; Kesehatan dan Kecantikan; Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
Perlengkapan Kantor atau Sekolah; Komik/Novel Grafis,Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi; Belanja online/offline,Alat Musik & kesenian; Kesehatan dan Kecantikan; Mainan,Sangat Tidak Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Perlengkapan Kantor atau Sekolah; Novel Fiksi",Aplikasi Gramedia.com,"Menambah pengetahuan; Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak); Alat Musik & kesenian; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Tidak Setuju,Sangat Setuju,Netral
Novel Fiksi; Alat Olahraga,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri; Hiburan atau relaksasi,"Travelling; Menghadiri acara budaya atau edukasi; Menulis (diari, blog, atau lainnya)","Mainan; Buku fiksi (novel, komik, buku anak)",Netral,Sangat Tidak Setuju,Tidak Setuju,Setuju
Alat Olahraga; Jurnal/Perencana (Planner),Toko buku independen lainnya,Hiburan atau relaksasi,Travelling,Alat Tulis kantor atau sekolah; Mainan; Kesehatan dan Kecantikan,Netral,Tidak Setuju,Sangat Tidak Setuju,Setuju
Alat Musik,Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga; Menulis (diari, blog, atau lainnya); Travelling",Alat Musik & kesenian; Kesehatan dan Kecantikan,Tidak Setuju,Setuju,Setuju,Setuju
"Alat Musik; Alat Tulis Umum (Kantor/Sekolah); Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,Menambah pengetahuan,Bermain musik,Alat Musik & kesenian; Alat Olahraga,Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Tulis Umum (Kantor/Sekolah); Komik/Novel Grafis,Aplikasi Gramedia.com,Hiburan atau relaksasi,Olahraga; Melukis atau menggambar ; Belanja online/offline,Kesehatan dan Kecantikan,Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju
Jurnal/Perencana (Planner),Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Belanja online/offline,"Alat Olahraga; Alat Musik & kesenian; Buku fiksi (novel, komik, buku anak)",Netral,Netral,Sangat Setuju,Tidak Setuju
Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar ; Travelling,"Mainan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju
"Alat Musik; Komik/Novel Grafis; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Menambah pengetahuan; Kado atau hadiah",Olahraga,Kesehatan dan Kecantikan; Alat Musik & kesenian,Sangat Tidak Setuju,Sangat Setuju,Netral,Netral
Buku Anak; Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas; Hiburan atau relaksasi",Menghadiri acara budaya atau edukasi; Bermain musik,Kesehatan dan Kecantikan; Mainan,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Novel Fiksi; Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline; Bermain game (offline/online); Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Olahraga",Netral,Setuju,Netral,Tidak Setuju
"Buku Anak; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Menghadiri acara budaya atau edukasi; Bermain musik; Bermain game (offline/online),"Mainan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Kesehatan dan Kecantikan",Setuju,Netral,Tidak Setuju,Sangat Setuju
Alat Olahraga; Perlengkapan Kantor atau Sekolah; Novel Fiksi,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Kado atau hadiah; Hiburan atau relaksasi",Bermain game (offline/online); Olahraga; Travelling,Alat Tulis kantor atau sekolah,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
"Alat Tulis Umum (Kantor/Sekolah); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Kado atau hadiah; Untuk mengekspresikan kreativitas,Membaca buku atau majalah ; Bermain musik,Alat Musik & kesenian,Sangat Tidak Setuju,Tidak Setuju,Netral,Sangat Setuju
"Alat Musik; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Perlengkapan Seni/Kreatif",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Olahraga; Travelling; Menghadiri acara budaya atau edukasi,"Mainan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Sangat Tidak Setuju,Sangat Setuju,Setuju
Alat Tulis Umum (Kantor/Sekolah); Mainan/Collectible item; Novel Fiksi,Toko Gramedia,"Menambah pengetahuan; Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online); Menghadiri acara budaya atau edukasi; Melukis atau menggambar ,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku non-fiksi (pengembangan diri, sejarah, agama); Mainan",Setuju,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Alat Musik; Perlengkapan Seni/Kreatif",Toko Gramedia,Menambah pengetahuan; Untuk mengekspresikan kreativitas; Sebagai bentuk 'self-reward' atau apresiasi diri,Olahraga; Bermain musik,"Buku fiksi (novel, komik, buku anak); Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Setuju,Setuju,Setuju
Novel Fiksi; Buku Anak; Alat Musik,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline,Mainan,Setuju,Sangat Tidak Setuju,Netral,Sangat Setuju
Alat Olahraga; Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Travelling,"Alat Olahraga; Buku fiksi (novel, komik, buku anak)",Netral,Sangat Setuju,Setuju,Setuju
"Perlengkapan Kantor atau Sekolah; Komik/Novel Grafis; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Bermain musik; Membaca buku atau majalah ,Alat Olahraga,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Perlengkapan Seni/Kreatif; Novel Fiksi; Jurnal/Perencana (Planner),Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar ,Kesehatan dan Kecantikan; Alat Olahraga,Netral,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
"Perlengkapan Seni/Kreatif; Novel Fiksi; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas; Menambah pengetahuan,"Menulis (diari, blog, atau lainnya); Membaca buku atau majalah ; Olahraga","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Setuju,Setuju,Sangat Setuju
Perlengkapan Seni/Kreatif; Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Belanja online/offline,Kesehatan dan Kecantikan,Tidak Setuju,Setuju,Tidak Setuju,Sangat Setuju
Novel Fiksi; Perlengkapan Seni/Kreatif; Mainan/Collectible item,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Mainan; Kesehatan dan Kecantikan",Tidak Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju
Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi; Kado atau hadiah,Menghadiri acara budaya atau edukasi; Bermain musik; Olahraga,"Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Musik & kesenian; Buku fiksi (novel, komik, buku anak)",Setuju,Setuju,Netral,Sangat Setuju
"Alat Olahraga; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Melukis atau menggambar ; Olahraga; Belanja online/offline,"Buku fiksi (novel, komik, buku anak); Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Musik & kesenian",Setuju,Setuju,Setuju,Tidak Setuju
"Komik/Novel Grafis; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline; Bermain musik,"Alat Tulis kantor atau sekolah; Buku non-fiksi (pengembangan diri, sejarah, agama); Kesehatan dan Kecantikan",Sangat Setuju,Setuju,Setuju,Sangat Setuju
Jurnal/Perencana (Planner),Aplikasi Gramedia.com,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar ; Travelling; Olahraga,"Mainan; Buku fiksi (novel, komik, buku anak); Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Netral,Setuju,Tidak Setuju
Mainan/Collectible item,Toko Gramedia,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak); Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Sangat Setuju,Netral,Netral
Alat Olahraga; Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline; Bermain game (offline/online); Travelling,"Mainan; Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Netral,Tidak Setuju,Netral
Komik/Novel Grafis; Alat Olahraga; Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,"Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Musik & kesenian; Mainan",Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
Buku Anak; Jurnal/Perencana (Planner),Toko buku independen lainnya,Menambah pengetahuan,Menghadiri acara budaya atau edukasi; Membaca buku atau majalah ,"Buku fiksi (novel, komik, buku anak); Mainan; Alat Olahraga",Tidak Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
Alat Musik; Buku Anak; Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Kado atau hadiah","Menulis (diari, blog, atau lainnya)","Alat Olahraga; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Setuju,Sangat Tidak Setuju,Setuju
Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri; Hiburan atau relaksasi",Membaca buku atau majalah ,"Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Setuju,Setuju,Sangat Tidak Setuju
Alat Tulis Umum (Kantor/Sekolah); Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Hiburan atau relaksasi",Travelling; Menghadiri acara budaya atau edukasi,"Alat Tulis kantor atau sekolah; Kesehatan dan Kecantikan; Buku fiksi (novel, komik, buku anak)",Setuju,Sangat Tidak Setuju,Setuju,Sangat Setuju
"Jurnal/Perencana (Planner); Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Membaca buku atau majalah ; Belanja online/offline,"Kesehatan dan Kecantikan; Buku fiksi (novel, komik, buku anak); Alat Musik & kesenian",Sangat Setuju,Netral,Sangat Setuju,Tidak Setuju
Jurnal/Perencana (Planner); Mainan/Collectible item; Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Melukis atau menggambar ,"Alat Musik & kesenian; Mainan; Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Setuju,Tidak Setuju,Netral
Alat Tulis Umum (Kantor/Sekolah); Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Hiburan atau relaksasi",Bermain game (offline/online); Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama); Kesehatan dan Kecantikan; Alat Tulis kantor atau sekolah",Sangat Tidak Setuju,Tidak Setuju,Netral,Sangat Setuju
"Mainan/Collectible item; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Travelling; Bermain musik,"Mainan; Buku fiksi (novel, komik, buku anak); Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline; Olahraga; Bermain game (offline/online),"Kesehatan dan Kecantikan; Alat Tulis kantor atau sekolah; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online); Menulis (diari, blog, atau lainnya)","Mainan; Buku non-fiksi (pengembangan diri, sejarah, agama); Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Netral,Netral,Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Buku Anak",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi; Membaca buku atau majalah ,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Tidak Setuju,Setuju,Netral
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Kado atau hadiah",Membaca buku atau majalah ; Bermain musik; Belanja online/offline,Alat Olahraga; Alat Musik & kesenian,Sangat Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
Buku Anak,Toko Gramedia,"Untuk mengekspresikan kreativitas; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi,"Alat Olahraga; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Tidak Setuju,Sangat Tidak Setuju,Netral
Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah; Hiburan atau relaksasi,"Olahraga; Menulis (diari, blog, atau lainnya)",Mainan; Kesehatan dan Kecantikan,Setuju,Setuju,Sangat Tidak Setuju,Netral
Alat Tulis Umum (Kantor/Sekolah),Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Hiburan atau relaksasi",Bermain game (offline/online),Alat Musik & kesenian; Alat Olahraga,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline; Bermain musik,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Mainan/Collectible item; Novel Fiksi; Buku Anak,Toko alat tulis lainnya,Kado atau hadiah,Bermain game (offline/online); Menghadiri acara budaya atau edukasi; Bermain musik,Kesehatan dan Kecantikan,Netral,Tidak Setuju,Setuju,Netral
Mainan/Collectible item; Jurnal/Perencana (Planner),Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online); Travelling; Bermain musik,"Buku fiksi (novel, komik, buku anak); Alat Tulis kantor atau sekolah; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,"Buku fiksi (novel, komik, buku anak); Alat Tulis kantor atau sekolah",Netral,Sangat Setuju,Sangat Tidak Setuju,Netral
Alat Musik; Alat Tulis Umum (Kantor/Sekolah),Toko Gramedia,Hiburan atau relaksasi,Belanja online/offline; Membaca buku atau majalah ; Olahraga,Alat Olahraga; Alat Musik & kesenian,Sangat Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
Mainan/Collectible item; Novel Fiksi; Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Olahraga; Melukis atau menggambar ; Bermain game (offline/online),Mainan,Netral,Netral,Sangat Setuju,Sangat Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Hiburan atau relaksasi; Menambah pengetahuan,Membaca buku atau majalah ; Olahraga; Bermain musik,"Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral
Komik/Novel Grafis,Toko Gramedia,Untuk mengekspresikan kreativitas,"Olahraga; Menulis (diari, blog, atau lainnya)","Alat Tulis kantor atau sekolah; Buku fiksi (novel, komik, buku anak); Kesehatan dan Kecantikan",Netral,Netral,Setuju,Sangat Setuju
Mainan/Collectible item; Perlengkapan Seni/Kreatif; Alat Musik,Toko alat tulis lainnya,Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri; Hiburan atau relaksasi,Bermain musik; Belanja online/offline; Bermain game (offline/online),"Alat Tulis kantor atau sekolah; Alat Musik & kesenian; Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Setuju,Netral,Netral
Perlengkapan Seni/Kreatif; Mainan/Collectible item; Alat Olahraga,Website Gramedia.com,Hiburan atau relaksasi; Untuk mengekspresikan kreativitas,Belanja online/offline; Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Olahraga",Netral,Sangat Setuju,Netral,Netral
Perlengkapan Kantor atau Sekolah; Mainan/Collectible item,Aplikasi Gramedia.com,Menambah pengetahuan,Travelling,"Alat Musik & kesenian; Buku fiksi (novel, komik, buku anak)",Netral,Netral,Setuju,Sangat Setuju
Jurnal/Perencana (Planner); Alat Olahraga; Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Travelling; Bermain musik; Belanja online/offline,Alat Tulis kantor atau sekolah; Alat Musik & kesenian,Sangat Setuju,Setuju,Sangat Setuju,Tidak Setuju
Buku Anak; Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,Hiburan atau relaksasi; Untuk mengekspresikan kreativitas,Bermain musik; Bermain game (offline/online),"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Setuju,Tidak Setuju,Sangat Setuju
Buku Anak,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Membaca buku atau majalah ; Menghadiri acara budaya atau edukasi,Mainan; Alat Olahraga,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
