Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak",Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan, Untuk mengekspresikan kreativitas","Bermain musik, Membaca buku atau majalah , Belanja online/offline","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Menambah pengetahuan","Belanja online/offline, Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian, Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Mainan/Collectible item, Buku Anak, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Olahraga, Belanja online/offline, Bermain game (offline/online)",Mainan
Alat Musik,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Menambah pengetahuan","Bermain game (offline/online), Belanja online/offline","Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Novel Fiksi, Alat Olahraga, Komik/Novel Grafis",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Olahraga, Bermain game (offline/online)",Mainan
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Membaca buku atau majalah , Bermain game (offline/online), Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian"
"Buku Anak, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah , Melukis atau menggambar , Belanja online/offline","Buku fiksi (novel, komik, buku anak), Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Novel Fiksi,Toko buku independen lainnya,Kado atau hadiah,"Melukis atau menggambar , Olahraga",Mainan
"Alat Olahraga, Alat Musik",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Membaca buku atau majalah ,"Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama), Mainan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Menghadiri acara budaya atau edukasi","Alat Olahraga, Mainan"
"Jurnal/Perencana (Planner), Komik/Novel Grafis",Toko buku independen lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Olahraga, Membaca buku atau majalah , Melukis atau menggambar ","Alat Musik & kesenian, Alat Olahraga"
"Jurnal/Perencana (Planner), Mainan/Collectible item, Perlengkapan Seni/Kreatif",Toko alat tulis lainnya,Kado atau hadiah,"Travelling, Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak)"
Alat Musik,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Menambah pengetahuan, Untuk mengekspresikan kreativitas","Bermain musik, Melukis atau menggambar , Menghadiri acara budaya atau edukasi","Buku fiksi (novel, komik, buku anak)"
"Novel Fiksi, Alat Musik, Alat Olahraga",Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Melukis atau menggambar ,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Untuk mengekspresikan kreativitas","Olahraga, Travelling, Menghadiri acara budaya atau edukasi","Alat Musik & kesenian, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Alat Musik, Perlengkapan Kantor atau Sekolah, Alat Olahraga",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Travelling, Olahraga","Alat Musik & kesenian, Mainan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Mainan/Collectible item, Alat Musik, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,"Olahraga, Menulis (diari, blog, atau lainnya), Bermain game (offline/online)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga"
Alat Musik,Toko Gramedia,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Olahraga, Melukis atau menggambar , Membaca buku atau majalah ","Alat Tulis kantor atau sekolah, Buku fiksi (novel, komik, buku anak), Mainan"
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Kado atau hadiah",Travelling,"Mainan, Alat Musik & kesenian"
Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,Hiburan atau relaksasi,"Olahraga, Belanja online/offline","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian, Alat Tulis kantor atau sekolah"
"Alat Olahraga, Perlengkapan Seni/Kreatif",Website Gramedia.com,Hiburan atau relaksasi,"Olahraga, Melukis atau menggambar ",Mainan
Alat Musik,Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi",Bermain musik,"Alat Tulis kantor atau sekolah, Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama)"
Komik/Novel Grafis,Toko Gramedia,Hiburan atau relaksasi,Travelling,"Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak), Alat Olahraga"
"Perlengkapan Kantor atau Sekolah, Alat Musik",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Menambah pengetahuan",Bermain musik,"Mainan, Alat Olahraga, Alat Tulis kantor atau sekolah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik, Buku Anak",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Kado atau hadiah","Travelling, Menulis (diari, blog, atau lainnya), Bermain musik","Alat Musik & kesenian, Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Travelling","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Membaca buku atau majalah ,"Alat Tulis kantor atau sekolah, Alat Musik & kesenian"
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)",Website Gramedia.com,Untuk mengekspresikan kreativitas,"Olahraga, Bermain game (offline/online)",Alat Musik & kesenian
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif, Mainan/Collectible item",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Olahraga, Melukis atau menggambar , Menghadiri acara budaya atau edukasi",Mainan
"Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,"Travelling, Olahraga","Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),"Alat Tulis kantor atau sekolah, Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Menambah pengetahuan, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)","Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Tulis kantor atau sekolah"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar ,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Tulis kantor atau sekolah"
Mainan/Collectible item,Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Melukis atau menggambar , Bermain musik, Travelling",Mainan
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Bermain musik,"Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item, Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian, Kesehatan dan Kecantikan"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Menulis (diari, blog, atau lainnya), Travelling","Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline,Mainan
Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah , Bermain musik","Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Mainan"
"Mainan/Collectible item, Buku Anak",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah ,"Mainan, Kesehatan dan Kecantikan"
"Perlengkapan Kantor atau Sekolah, Novel Fiksi",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Travelling, Membaca buku atau majalah , Bermain musik","Buku non-fiksi (pengembangan diri, sejarah, agama), Buku fiksi (novel, komik, buku anak)"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Bermain game (offline/online),Alat Olahraga
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Kesehatan dan Kecantikan"
Novel Fiksi,Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan","Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)","Alat Tulis kantor atau sekolah, Alat Musik & kesenian, Mainan"
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Bermain musik,Mainan
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Bermain musik, Melukis atau menggambar , Olahraga","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Musik, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian"
"Alat Olahraga, Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah",Bermain game (offline/online),"Mainan, Buku fiksi (novel, komik, buku anak), Alat Olahraga"
"Mainan/Collectible item, Komik/Novel Grafis, Perlengkapan Seni/Kreatif",Toko Gramedia,"Menambah pengetahuan, Kado atau hadiah, Untuk mengekspresikan kreativitas","Olahraga, Travelling, Menulis (diari, blog, atau lainnya)","Alat Olahraga, Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Bermain musik, Menulis (diari, blog, atau lainnya), Membaca buku atau majalah ","Alat Tulis kantor atau sekolah, Alat Olahraga, Alat Musik & kesenian"
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Menambah pengetahuan,"Membaca buku atau majalah , Bermain musik, Olahraga",Kesehatan dan Kecantikan
Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Untuk mengekspresikan kreativitas",Bermain game (offline/online),"Kesehatan dan Kecantikan, Mainan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi",Travelling,"Mainan, Alat Musik & kesenian"
Komik/Novel Grafis,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga, Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi",Travelling,Mainan
"Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif",Toko Gramedia,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline, Olahraga, Travelling","Alat Olahraga, Alat Tulis kantor atau sekolah"
"Buku Anak, Alat Musik",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Belanja online/offline, Olahraga","Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item",Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan",Melukis atau menggambar ,Alat Musik & kesenian
"Novel Fiksi, Mainan/Collectible item, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Hiburan atau relaksasi, Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri","Menghadiri acara budaya atau edukasi, Travelling","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri",Travelling,"Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan, Alat Olahraga"
Jurnal/Perencana (Planner),Website Gramedia.com,Kado atau hadiah,Menghadiri acara budaya atau edukasi,"Kesehatan dan Kecantikan, Alat Tulis kantor atau sekolah"
"Alat Musik, Buku Anak, Mainan/Collectible item",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga,Alat Tulis kantor atau sekolah
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Menambah pengetahuan, Hiburan atau relaksasi",Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian, Alat Tulis kantor atau sekolah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Hiburan atau relaksasi, Menambah pengetahuan",Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif, Buku Anak",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi",Belanja online/offline,"Alat Musik & kesenian, Alat Tulis kantor atau sekolah, Alat Olahraga"
"Alat Olahraga, Mainan/Collectible item, Alat Musik",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Bermain game (offline/online), Membaca buku atau majalah ",Alat Tulis kantor atau sekolah
Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,Kado atau hadiah,Olahraga,"Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama), Kesehatan dan Kecantikan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi","Buku fiksi (novel, komik, buku anak), Mainan, Alat Musik & kesenian"
"Mainan/Collectible item, Perlengkapan Seni/Kreatif",Toko alat tulis lainnya,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline, Bermain game (offline/online)",Alat Musik & kesenian
Mainan/Collectible item,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Kado atau hadiah","Belanja online/offline, Bermain musik, Bermain game (offline/online)","Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Alat Olahraga, Mainan/Collectible item, Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Bermain game (offline/online), Menghadiri acara budaya atau edukasi","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Mainan"
Mainan/Collectible item,Toko alat tulis lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak), Alat Musik & kesenian"
"Alat Musik, Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Toko Gramedia,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Melukis atau menggambar ","Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama)"
